id,ay,ihracat_Turk_bayrak,ihracat_yabancı_bayraklı,ihracat_toplam,kabotaj_yukleme,transit_yukleme,toplam_yukleme,ithalat_Turk_bayrak,ithalat_yabancı_bayraklı,ithalat_toplam,kabotaj_bosaltma,transit_bosaltma,toplam_bosaltma,toplam_turk_bayrakli,toplam_yabancı_bayraklı,toplam_ithalt_ihracat,toplam_kabotaj,toplam_transit,toplam_ellecleme,Year
188,eylul,1318037,6344525,7662564,2144499,4802132.0,14609194,1888122,14631256,16519380,2242590,467987.0,19229956,3206161.0,20975783.0,24181944,4387088,5270119,33839151,2016
189,ekim,1354895,6799605,8154501,2519024,5637883.0,16311409,2211288,15455689,17666978,2516198,470712.0,20653889,3566184.0,22255295.0,25821479,5035222,6108596,36965298,2016
190,kasim,1304210,6511037,7815249,2366777,5171196.0,15353222,2247042,15028721,17275764,2468809,439282.0,20183856,3551254.0,21539759.0,25091013,4835586,5610479,35537079,2016
191,aralik,1357988,6268658,7626646,2038328,5453964.0,15118940,1855050,17142288,18997339,2226304,475444.0,21699087,3213038.0,23410947.0,26623986,4264632,5929408,36818028,2016
192,ocak,1094725,10435171,11529896,2430914,5257987.0,19218797,1271190,20152412,21423602,2138232,891644.0,24453479,2365914.0,30587583.0,32953498,4569146,6149632,43672276,2020
193,subat,1128957,9747544,10876501,2574842,5532883.0,18984228,1040562,17590244,18630807,2556388,845186.0,22032382,2169519.0,27337788.0,29507308,5131231,6378070,41016610,2020
194,mart,1207175,10885135,12092310,2578489,5007456.0,19678258,1658809,18408143,20066952,2639312,899345.0,23605609,2865983.0,29293279.0,32159263,5217801,5906802,43283868,2020
195,nisan,892782,9664854,10557637,1968613,5525683.0,18051933,1324611,16961285,18285896,1981627,1017591.0,21285115,2217394.0,26626140.0,28843534,3950240,6543275,39337048,2020
196,mayis,916164,9303707,10219871,2135352,4914904.0,17270128,1383263,16425340,17808603,1923553,838133.0,20570290,2299426.0,25729048.0,28028475,4058905,5753037,37840417,2020
197,haziran,1033058,9920437,10953496,2400855,4668819.0,18023171,1395979,15798079,17194059,2301541,783206.0,20278807,2429039.0,25718517.0,28147556,4702396,5452026,38301979,2020
198,temmuz,1254780,10371138,11625918,2343858,4832944.0,18802720,1384332,17243611,18627944,2449019,850714.0,21927677,2639113.0,27614749.0,30253862,4792877,5683658,40730398,2020
199,agustos,974675,9759170,10733845,2512316,5232149.0,18478312,1048081,17718780,18766861,2496326,1159614.0,22422803,2022756.0,27477951.0,29500707,5008643,6391764,40901116,2020
200,eylul,1400801,10753391,12154193,2570082,5055575.0,19779851,1361382,17661453,19022836,2574467,1181365.0,22778669,2762184.0,28414845.0,31177030,5144551,6236940,42558521,2020
201,ekim,1263618,11754371,13017989,2843520,5105086.0,20966597,1444538,17525804,18970342,2806095,1145689.0,22922128,2708155.0,29280177.0,31988333,5649616,6250777,43888726,2020
202,kasim,1321290,11100616,12421907,2606530,4500345.0,19528783,1590011,16109459,17699470,2451974,1104958.0,21256404,2911302.0,27210075.0,30121377,5058506,5605304,40785187,2020
203,aralik,1092881,11626371,12719253,2798178,4856419.0,20373851,1195487,18846607,20042094,2715287,1195264.0,23952648,2288368.0,30472979.0,32761348,5513466,6051683,44326500,2020
